id	entrypoint	group	topic	op	canonical_path	surface	stability	layer	hidden	summary
yai.boot.artifact_audit	run	boot	boot	artifact_audit	run boot artifact_audit	plumbing	experimental	docs	False	boot audit operation on artifact with deterministic contract and traceable outputs.
yai.boot.artifact_bootstrap	run	boot	boot	artifact_bootstrap	run boot artifact_bootstrap	plumbing	experimental	docs	False	boot bootstrap operation on artifact with deterministic contract and traceable outputs.
yai.boot.artifact_check	run	boot	boot	artifact_check	run boot artifact_check	plumbing	experimental	docs	False	boot check operation on artifact with deterministic contract and traceable outputs.
yai.boot.artifact_guard	run	boot	boot	artifact_guard	run boot artifact_guard	plumbing	experimental	docs	False	boot guard operation on artifact with deterministic contract and traceable outputs.
yai.boot.artifact_index	run	boot	boot	artifact_index	run boot artifact_index	plumbing	experimental	docs	False	boot index operation on artifact with deterministic contract and traceable outputs.
yai.boot.artifact_inspect	run	boot	boot	artifact_inspect	run boot artifact_inspect	plumbing	experimental	docs	False	boot inspect operation on artifact with deterministic contract and traceable outputs.
yai.boot.artifact_prepare	run	boot	boot	artifact_prepare	run boot artifact_prepare	plumbing	experimental	docs	False	boot prepare operation on artifact with deterministic contract and traceable outputs.
yai.boot.artifact_reconcile	run	boot	boot	artifact_reconcile	run boot artifact_reconcile	plumbing	experimental	docs	False	boot reconcile operation on artifact with deterministic contract and traceable outputs.
yai.boot.artifact_refresh	run	boot	boot	artifact_refresh	run boot artifact_refresh	plumbing	experimental	docs	False	boot refresh operation on artifact with deterministic contract and traceable outputs.
yai.boot.artifact_reload	run	boot	boot	artifact_reload	run boot artifact_reload	plumbing	experimental	docs	False	boot reload operation on artifact with deterministic contract and traceable outputs.
yai.boot.artifact_report	run	boot	boot	artifact_report	run boot artifact_report	plumbing	experimental	docs	False	boot report operation on artifact with deterministic contract and traceable outputs.
yai.boot.artifact_resume	run	boot	boot	artifact_resume	run boot artifact_resume	plumbing	experimental	docs	False	boot resume operation on artifact with deterministic contract and traceable outputs.
yai.boot.artifact_seal	run	boot	boot	artifact_seal	run boot artifact_seal	plumbing	experimental	docs	False	boot seal operation on artifact with deterministic contract and traceable outputs.
yai.boot.artifact_snapshot	run	boot	boot	artifact_snapshot	run boot artifact_snapshot	plumbing	experimental	docs	False	boot snapshot operation on artifact with deterministic contract and traceable outputs.
yai.boot.artifact_status	run	boot	boot	artifact_status	run boot artifact_status	plumbing	experimental	docs	False	boot status operation on artifact with deterministic contract and traceable outputs.
yai.boot.artifact_sync	run	boot	boot	artifact_sync	run boot artifact_sync	plumbing	experimental	docs	False	boot sync operation on artifact with deterministic contract and traceable outputs.
yai.boot.artifact_trace	run	boot	boot	artifact_trace	run boot artifact_trace	plumbing	experimental	docs	False	boot trace operation on artifact with deterministic contract and traceable outputs.
yai.boot.artifact_unseal	run	boot	boot	artifact_unseal	run boot artifact_unseal	plumbing	experimental	docs	False	boot unseal operation on artifact with deterministic contract and traceable outputs.
yai.boot.artifact_verify	run	boot	boot	artifact_verify	run boot artifact_verify	plumbing	experimental	docs	False	boot verify operation on artifact with deterministic contract and traceable outputs.
yai.boot.artifact_warmup	run	boot	boot	artifact_warmup	run boot artifact_warmup	plumbing	experimental	docs	False	boot warmup operation on artifact with deterministic contract and traceable outputs.
yai.boot.cache_audit	run	boot	boot	cache_audit	run boot cache_audit	plumbing	experimental	docs	False	boot audit operation on cache with deterministic contract and traceable outputs.
yai.boot.cache_bootstrap	run	boot	boot	cache_bootstrap	run boot cache_bootstrap	plumbing	experimental	docs	False	boot bootstrap operation on cache with deterministic contract and traceable outputs.
yai.boot.cache_check	run	boot	boot	cache_check	run boot cache_check	plumbing	experimental	docs	False	boot check operation on cache with deterministic contract and traceable outputs.
yai.boot.cache_guard	run	boot	boot	cache_guard	run boot cache_guard	plumbing	experimental	docs	False	boot guard operation on cache with deterministic contract and traceable outputs.
yai.boot.cache_index	run	boot	boot	cache_index	run boot cache_index	plumbing	experimental	docs	False	boot index operation on cache with deterministic contract and traceable outputs.
yai.boot.cache_inspect	run	boot	boot	cache_inspect	run boot cache_inspect	plumbing	experimental	docs	False	boot inspect operation on cache with deterministic contract and traceable outputs.
yai.boot.cache_prepare	run	boot	boot	cache_prepare	run boot cache_prepare	plumbing	experimental	docs	False	boot prepare operation on cache with deterministic contract and traceable outputs.
yai.boot.cache_reconcile	run	boot	boot	cache_reconcile	run boot cache_reconcile	plumbing	experimental	docs	False	boot reconcile operation on cache with deterministic contract and traceable outputs.
yai.boot.cache_refresh	run	boot	boot	cache_refresh	run boot cache_refresh	plumbing	experimental	docs	False	boot refresh operation on cache with deterministic contract and traceable outputs.
yai.boot.cache_reload	run	boot	boot	cache_reload	run boot cache_reload	plumbing	experimental	docs	False	boot reload operation on cache with deterministic contract and traceable outputs.
yai.boot.cache_report	run	boot	boot	cache_report	run boot cache_report	plumbing	experimental	docs	False	boot report operation on cache with deterministic contract and traceable outputs.
yai.boot.cache_resume	run	boot	boot	cache_resume	run boot cache_resume	plumbing	experimental	docs	False	boot resume operation on cache with deterministic contract and traceable outputs.
yai.boot.cache_seal	run	boot	boot	cache_seal	run boot cache_seal	plumbing	experimental	docs	False	boot seal operation on cache with deterministic contract and traceable outputs.
yai.boot.cache_snapshot	run	boot	boot	cache_snapshot	run boot cache_snapshot	plumbing	experimental	docs	False	boot snapshot operation on cache with deterministic contract and traceable outputs.
yai.boot.cache_status	run	boot	boot	cache_status	run boot cache_status	plumbing	experimental	docs	False	boot status operation on cache with deterministic contract and traceable outputs.
yai.boot.cache_sync	run	boot	boot	cache_sync	run boot cache_sync	plumbing	experimental	docs	False	boot sync operation on cache with deterministic contract and traceable outputs.
yai.boot.cache_trace	run	boot	boot	cache_trace	run boot cache_trace	plumbing	experimental	docs	False	boot trace operation on cache with deterministic contract and traceable outputs.
yai.boot.cache_unseal	run	boot	boot	cache_unseal	run boot cache_unseal	plumbing	experimental	docs	False	boot unseal operation on cache with deterministic contract and traceable outputs.
yai.boot.cache_verify	run	boot	boot	cache_verify	run boot cache_verify	plumbing	experimental	docs	False	boot verify operation on cache with deterministic contract and traceable outputs.
yai.boot.cache_warmup	run	boot	boot	cache_warmup	run boot cache_warmup	plumbing	experimental	docs	False	boot warmup operation on cache with deterministic contract and traceable outputs.
yai.boot.deps_audit	run	boot	boot	deps_audit	run boot deps_audit	plumbing	experimental	docs	False	boot audit operation on deps with deterministic contract and traceable outputs.
yai.boot.deps_bootstrap	run	boot	boot	deps_bootstrap	run boot deps_bootstrap	plumbing	experimental	docs	False	boot bootstrap operation on deps with deterministic contract and traceable outputs.
yai.boot.deps_check	run	boot	boot	deps_check	run boot deps_check	plumbing	experimental	docs	False	boot check operation on deps with deterministic contract and traceable outputs.
yai.boot.deps_guard	run	boot	boot	deps_guard	run boot deps_guard	plumbing	experimental	docs	False	boot guard operation on deps with deterministic contract and traceable outputs.
yai.boot.deps_index	run	boot	boot	deps_index	run boot deps_index	plumbing	experimental	docs	False	boot index operation on deps with deterministic contract and traceable outputs.
yai.boot.deps_inspect	run	boot	boot	deps_inspect	run boot deps_inspect	plumbing	experimental	docs	False	boot inspect operation on deps with deterministic contract and traceable outputs.
yai.boot.deps_prepare	run	boot	boot	deps_prepare	run boot deps_prepare	plumbing	experimental	docs	False	boot prepare operation on deps with deterministic contract and traceable outputs.
yai.boot.deps_reconcile	run	boot	boot	deps_reconcile	run boot deps_reconcile	plumbing	experimental	docs	False	boot reconcile operation on deps with deterministic contract and traceable outputs.
yai.boot.deps_refresh	run	boot	boot	deps_refresh	run boot deps_refresh	plumbing	experimental	docs	False	boot refresh operation on deps with deterministic contract and traceable outputs.
yai.boot.deps_reload	run	boot	boot	deps_reload	run boot deps_reload	plumbing	experimental	docs	False	boot reload operation on deps with deterministic contract and traceable outputs.
yai.boot.deps_report	run	boot	boot	deps_report	run boot deps_report	plumbing	experimental	docs	False	boot report operation on deps with deterministic contract and traceable outputs.
yai.boot.deps_resume	run	boot	boot	deps_resume	run boot deps_resume	plumbing	experimental	docs	False	boot resume operation on deps with deterministic contract and traceable outputs.
yai.boot.deps_seal	run	boot	boot	deps_seal	run boot deps_seal	plumbing	experimental	docs	False	boot seal operation on deps with deterministic contract and traceable outputs.
